"Callback comments","Komentarze zwrotne"
"Transaction mode","Tryb transakcji"
"Bank account details to transfer the amount","Szczegóły konta bankowego do przeniesienia kwoty"
"Guarantee payment pending comments","Gwarancja płatności w oczekiwaniu na komentarze"
"Transaction ID","Identyfikator transakcji"
"Payment method","Metoda płatności"
"novalnetCreditCard","Karty kredytowe/debetowe"
"novalnetSepa","SEPA DEBETU DEBET"
"novalnetInvoice","Faktura"
"novalnetPrepayment","Przedpłata"
"novalnetIdeal,"iDEAL"
"novalnetSofort","Sofort"
"novalnetGiropay","giropay"
"novalnetBarzahlen","Barzahlen/viacash"
"novalnetPrzelewy","Przelewy24"
"novalnetEps","eps"
"novalnetPaypal","PayPal"
"novalnetPostfinanceCard","PostFinance Card"
"novalnetPostfinance","PostFinance E-Finance"
"novalnetBancontact","Bancontact"
"novalnetMultibanco","Multibanco"

